municipality	is capital area	building	description	rent	size	build_year
Oulu	0	kerrostalo	4h+k+wc+ph	1950	78	1963
Helsinki	1	kerrostalo	4h+k+2xkph+2xparveke (furn.)	2850	84	1963
Helsinki	1	kerrostalo	3h + avok + 2 x kph + s + tera	3990	127.5	2008
Espoo	1	omakotitalo	8 h + k + 3 kph + sauna + 1 wc	8500	313	2011
Nurmijärvi	0	kerrostalo	4h+k	1950	100	1924
Helsinki	1	kerrostalo	PENTHOUSE; 3r. s.balcony	3200	107	2012
Helsinki	1	kerrostalo	2h+k+s	1995	63	2009
Helsinki	1	kerrostalo	Unfurnished 2-3r. k. s. balc	2495	84	2008
Helsinki	1	kerrostalo	Unfurnished 2r. sauna.balcony	1500	45.5	2005
Helsinki	1	rivitalo	FANTASTIC APARTMENT!	6500	291	1974
Helsinki	1	kerrostalo	1h+kph	995	20	1926
Helsinki	1	kerrostalo	1h+yhteiskeittiö	690	13	1971
Helsinki	1	kerrostalo	1h+kk	1150	32	2012
Helsinki	1	kerrostalo	2 h+avokeittiö+vh+parveke	1050	31.5	1973
Helsinki	1	kerrostalo	1h/k+s	1100	25	1912
Helsinki	1	kerrostalo	4h+k+s	2750	104.5	2013
Helsinki	1	kerrostalo	2h+kph	1478	40	1922
Kerava	0	kerrostalo	5H+AVOK+KPH+S+WC+2xVH	2450	111.5	2013
Tampere	0	kerrostalo	1h+kt	904	45.5	1957
Helsinki	1	kerrostalo	Unfurnished 4r.sauna.PARKING	2600	100	1994
Vihti	0	kerrostalo	2h+kk+parveke	970	36	2013
Tampere	0	kerrostalo	3h. keittö. ruokailutila. kph	1000	53.5	1956
Helsinki	1	kerrostalo	PENTHOUSE 4r.s.2 balc.parking	3250	133	2007
Tampere	0	kerrostalo	2h+k+kph+p	990	53.5	1974
Espoo	1	omakotitalo	VILLA; 6r. s. swimming pool	6000	265	2011
Tampere	0	kerrostalo	h + avokeittiö + kph/wc	525	20	1935
Turku	0	kerrostalo	3h. avok. 2*kph.takka. ransk.p	1550	96	1931
Turku	0	kerrostalo	2h+k+s+p	900	48	1981
Pori	0	omakotitalo	5h+k+s+khh	2000	130	1938
Oulu	0	kerrostalo	3h+k+s+kph+wc	1300	78	1879
Helsinki	1	kerrostalo	3h+k+s	3153	112	1903
Helsinki	1	kerrostalo	1 h +k +makuualko-ovi+s	1450	51	2005
Helsinki	1	kerrostalo	3h+kk+sh+p	1300	49.5	1962
Helsinki	1	kerrostalo	3-4 h+k+kph+wc+2 parv (furn.)	2950	105	1936
Tampere	0	kerrostalo	1h+kk	541	22.5	1963
Helsinki	1	kerrostalo	Ullakko-penth. 2h+avok+s+teras	1650	52	1895
Helsinki	1	kerrostalo	Unfurnished 3r. s. PARKING	2500	104.5	2010
Tampere	0	kerrostalo	2h + kk + p	895	50.5	1965
Tampere	0	kerrostalo	h+avokeittiö	520	21.5	1967
Tampere	0	kerrostalo	1h+kt	957	55.5	1957
Helsinki	1	kerrostalo	1h+kk+p	950	32.5	1974
Helsinki	1	kerrostalo	3h+kk+s	2184	76.5	1890
Helsinki	1	kerrostalo	3h + kk + kph + vh + lasitettu	1690	66.5	2013
Tampere	0	kerrostalo	3H+K+S	1293	83	1957
Helsinki	1	kerrostalo	Unfurnished 5r. s. balcony	2800	123	1997
Helsinki	1	kerrostalo	1h + avok + kph + alkovi + las	860	28	1974
Helsinki	1	kerrostalo	1 h. kt. s	1300	47	2014
Helsinki	1	kerrostalo	1 h. kt. s	1300	47	2014
Helsinki	1	kerrostalo	1h+kk	1153	33	1937
Porvoo	0	puutalo-osake	3h + keittiö . 2 kakluunia	1200	77	1770
Tampere	0	kerrostalo	1h + kk	525	23.4	1964
